"1","aerobic","walk"
"2","aerobic","run"
"3","aerobic","spin"
"4","aerobic","swim"
"6","aerobic","studio"
"8","aerobic","dance"
"9","aerobic","ski"
"12","anaerobic","lift"
"13","anaerobic","yoga"
"14","anaerobic","climb"
"16","anaerobic","martial"
"17","anaerobic","fit"
"19","anaerobic","climb"
"20","anaerobic","pole"
"21","both","pilates"
"22","both","trx"
"23","both","functional"
